dayOfWeek,hourOfDay,P1,P2,year,month
Friday,0,9.654545454545454,3.867272727272727,2019,8
Friday,1,11.47,4.92,2019,8
Friday,2,11.260000000000002,5.299999999999999,2019,8
Friday,3,9.044444444444444,3.9633333333333334,2019,8
Friday,4,8.629999999999999,3.821,2019,8
Friday,5,9.73,4.236,2019,8
Friday,6,8.318181818181818,3.8045454545454547,2019,8
Friday,7,9.98,3.9470000000000005,2019,8
Friday,8,11.041666666666666,4.583333333333333,2019,8
Friday,9,8.209090909090909,3.578181818181818,2019,8
Friday,10,5.5249999999999995,2.80625,2019,8
Friday,11,4.1875,2.15875,2019,8
Friday,12,3.575,1.99625,2019,8
Friday,13,2.8124999999999996,1.57875,2019,8
Friday,14,3.6375,1.41875,2019,8
Friday,15,5.070000000000001,1.7150000000000003,2019,8
Friday,16,5.816666666666666,1.9075,2019,8
Friday,17,5.736363636363636,1.908181818181818,2019,8
Friday,18,5.82,2.072,2019,8
Friday,19,7.5874999999999995,1.93,2019,8
Friday,20,10.125000000000002,2.9425,2019,8
Friday,21,6.557142857142857,2.454285714285714,2019,8
Friday,22,9.2875,3.2875,2019,8
Friday,23,9.8375,3.1225000000000005,2019,8
Monday,0,13.616666666666667,6.093333333333334,2019,8
Monday,1,15.350000000000001,6.196666666666665,2019,8
Monday,2,16.21666666666667,6.56,2019,8
Monday,3,21.51111111111111,8.015555555555558,2019,8
Monday,4,17.220000000000002,6.18,2019,8
Monday,5,17.283333333333335,6.914999999999999,2019,8
Monday,6,15.774999999999999,5.838750000000001,2019,8
Monday,7,13.62857142857143,5.031428571428571,2019,8
Monday,8,18.577777777777776,6.84,2019,8
Monday,9,16.862499999999997,7.50125,2019,8
Monday,10,12.275,6.65,2019,8
Monday,11,12.6625,5.989999999999999,2019,8
Monday,12,11.200000000000001,4.984999999999999,2019,8
Monday,13,10.488888888888889,5.18,2019,8
Monday,14,10.3375,4.7524999999999995,2019,8
Monday,15,5.375,2.63875,2019,8
Monday,16,5.055555555555555,1.7822222222222222,2019,8
Monday,17,5.925,2.13375,2019,8
Monday,18,5.925000000000001,2.12375,2019,8
Monday,19,5.6625000000000005,1.9349999999999998,2019,8
Monday,20,5.15,2.0062499999999996,2019,8
Monday,21,5.777777777777778,2.052222222222222,2019,8
Monday,22,5.6,1.995,2019,8
Monday,23,5.449999999999999,2.3312500000000003,2019,8
Saturday,0,5.127272727272727,2.2809090909090908,2019,8
Saturday,1,7.116666666666667,2.700833333333333,2019,8
Saturday,2,6.58,2.604,2019,8
Saturday,3,7.709090909090907,3.1381818181818186,2019,8
Saturday,4,8.53,3.113,2019,8
Saturday,5,9.61,3.621,2019,8
Saturday,6,9.99,3.697,2019,8
Saturday,7,8.610000000000001,3.1610000000000005,2019,8
Saturday,8,8.099999999999998,3.4319999999999995,2019,8
Saturday,9,10.0,4.411111111111111,2019,8
Saturday,10,8.577777777777778,3.53,2019,8
Saturday,11,8.875000000000002,2.80625,2019,8
Saturday,12,7.937499999999999,2.6862500000000002,2019,8
Saturday,13,5.775,2.14,2019,8
Saturday,14,6.6625,2.15875,2019,8
Saturday,15,5.644444444444445,2.183333333333333,2019,8
Saturday,16,5.470000000000001,2.131,2019,8
Saturday,17,6.836363636363637,2.3790909090909094,2019,8
Saturday,18,4.5181818181818185,2.1790909090909096,2019,8
Saturday,19,7.710000000000001,2.76,2019,8
Saturday,20,7.0,2.7910000000000004,2019,8
Saturday,21,7.199999999999999,2.6509090909090913,2019,8
Saturday,22,7.58,2.6279999999999997,2019,8
Saturday,23,8.670000000000002,2.418,2019,8
Sunday,0,7.800000000000001,3.2175000000000002,2019,8
Sunday,1,9.762500000000001,3.3674999999999997,2019,8
Sunday,2,8.370000000000001,3.0100000000000002,2019,8
Sunday,3,7.857142857142857,3.004285714285714,2019,8
Sunday,4,7.775,3.095,2019,8
Sunday,5,8.22857142857143,3.6371428571428566,2019,8
Sunday,6,8.11111111111111,3.3455555555555554,2019,8
Sunday,7,8.537500000000001,3.34375,2019,8
Sunday,8,6.887500000000001,2.76375,2019,8
